Trap_ID,date_start,date_end,duration,Year,Month,ice_distance,ice_concentration,POC
Fevi1,14/01/2001,14/02/2001,31,2001,1,36.5485261,4.25625,2.05
Fevi2,14/01/2002,14/02/2002,31,2002,1,61.42615607,0.51875,1.76
Fevi3,11/01/2003,26/01/2003,15,2003,1,66.09818445,0,0.56
Fevi3,26/01/2003,10/02/2003,15,2003,2,71.59907639,0,0.87
Fevi7,15/01/2005,28/02/2005,44,2005,2,47.19436923,0.444444444,6.545227273
Fevi13,31/01/2007,28/02/2007,28,2007,2,54.36544447,0,1.366457143
Fevi16,31/01/2008,29/02/2008,29,2008,2,77.49021505,0,1.232728276
Fevi18,15/01/2009,28/02/2009,44,2009,2,29.78222564,3.742222222,2.092218182
Fevi24,31/01/2012,28/02/2012,28,2012,2,75.47901088,0,1.933851429
Fevi26,31/01/2013,28/02/2013,28,2013,2,33.29113623,1.914285714,1.079314286
Fevi1,14/02/2001,14/03/2001,28,2001,2,36.73981834,1.04137931,3.81
Fevi2,14/02/2002,14/03/2002,28,2002,2,76.15321745,0.475862069,1.24
Fevi3,10/02/2003,25/02/2003,15,2003,2,73.79243359,0,1.5
Fevi3,25/02/2003,12/03/2003,15,2003,3,55.54491039,0,4.23
Fevi7,28/02/2005,31/03/2005,31,2005,3,53.82033229,0.09375,7.61251
Fevi10,28/02/2006,30/03/2006,30,2006,3,72.16734077,0,4.714695111
Fevi13,28/02/2007,15/03/2007,15,2007,3,43.06674254,0.3375,2.489258667
Fevi16,29/02/2008,31/03/2008,31,2008,3,53.7093216,0,5.080154839
Fevi18,28/02/2009,31/03/2009,31,2009,3,51.19206005,0,9.347716129
Fevi22,28/02/2011,15/03/2011,15,2011,3,65.53387104,0,3.495893333
Fevi24,28/02/2012,31/03/2012,32,2012,3,82.53225388,0,5.70548129
Fevi26,28/02/2013,31/03/2013,31,2013,3,44.32392802,0,2.133347097
Fevi1,14/03/2001,29/03/2001,15,2001,3,40.12625793,0.35,9.13
Fevi1,29/03/2001,14/04/2001,16,2001,4,25.36990693,4.425,8.89
Fevi3,12/03/2003,27/03/2003,15,2003,3,53.92825554,0,3.12
Fevi3,27/03/2003,11/04/2003,15,2003,4,25.46304361,6.48,6.79
Fevi7,31/03/2005,15/04/2005,15,2005,4,67.29295674,0,4.816
Fevi10,30/03/2006,14/04/2006,15,2006,4,65.53223181,0,2.761856
Fevi13,15/03/2007,31/03/2007,16,2007,3,48.86687141,0,16.62336
Fevi13,31/03/2007,15/04/2007,15,2007,4,36.31701575,0.813333333,17.76238933
Fevi16,31/03/2008,15/04/2008,15,2008,4,32.62311465,0,23.48970667
Fevi18,31/03/2009,15/04/2009,15,2009,4,20.36505412,2.693333333,22.67562667
Fevi22,15/03/2011,31/03/2011,16,2011,3,34.09753045,2.541176471,7.801495652
Fevi22,31/03/2011,15/04/2011,15,2011,4,15.70144813,7.253333333,9.316010667
Fevi24,31/03/2012,15/04/2012,15,2012,4,67.937134,0,7.794261333
Fevi26,31/03/2013,15/04/2013,15,2013,4,26.14023989,2.725,7.336021333
Fevi1,14/04/2001,29/04/2001,15,2001,4,42.14446277,0.4,4.82
Fevi1,29/04/2001,14/05/2001,15,2001,5,48.97451382,0,5.49
Fevi3,11/04/2003,26/04/2003,15,2003,4,15.31283515,9.625,7.52
Fevi3,26/04/2003,11/05/2003,15,2003,5,11.44547323,9.775,15.26
Fevi7,15/04/2005,30/04/2005,15,2005,4,37.34866465,0,3.616666667
Fevi7,30/04/2005,15/05/2005,15,2005,5,66.83958016,0,3.051
Fevi10,14/04/2006,29/04/2006,15,2006,4,65.61229346,0,6.518528
Fevi10,29/04/2006,14/05/2006,15,2006,5,42.45090639,1.8,13.48408889
Fevi13,15/04/2007,30/04/2007,15,2007,4,15.64488937,7.5125,33.3389824
Fevi13,30/04/2007,10/05/2007,10,2007,5,22.76046762,5.127272727,50.3049216
Fevi16,15/04/2008,30/04/2008,15,2008,4,1.572803557,27.275,11.03770249
Fevi16,30/04/2008,10/05/2008,10,2008,5,0,42.32727273,14.49536
Fevi18,15/04/2009,30/04/2009,15,2009,4,0,30.2625,20.2624
Fevi18,30/04/2009,15/05/2009,15,2009,5,22.91467992,5.7,12.123904
Fevi22,15/04/2011,30/04/2011,15,2011,4,51.66478496,0,8.154794667
Fevi22,30/04/2011,10/05/2011,10,2011,5,40.78728312,0,10.023808
Fevi24,15/04/2012,30/04/2012,15,2012,4,45.89594501,0,17.993728
Fevi24,30/04/2012,10/05/2012,10,2012,5,36.39877752,0,24.19136
Fevi26,15/04/2013,30/04/2013,15,2013,4,26.49263124,1.675,20.56436622
Fevi26,30/04/2013,10/05/2013,10,2013,5,32.85574294,0,18.65557333
Fevi1,14/05/2001,29/05/2001,15,2001,5,86.3377136,0,3.42
Fevi1,29/05/2001,14/06/2001,16,2001,6,50.69039105,0,3.69975
Fevi3,11/05/2003,26/05/2003,15,2003,5,16.73400554,7.375,7.25
Fevi3,26/05/2003,10/06/2003,15,2003,6,3.721270476,26.175,12.45067
Fevi7,15/05/2005,31/05/2005,16,2005,5,70.53718944,0,2.193
Fevi7,31/05/2005,15/06/2005,15,2005,6,49.60994957,0.425,3.749
Fevi10,14/05/2006,29/05/2006,15,2006,5,77.00129088,0,5.586773333
Fevi10,29/05/2006,13/06/2006,15,2006,6,57.27004738,0,11.36725333
Fevi13,10/05/2007,20/05/2007,10,2007,5,42.3844301,0,7.06272
Fevi13,20/05/2007,06/06/2007,17,2007,5,16.91171384,7.211111111,2.360707879
Fevi16,10/05/2008,20/05/2008,10,2008,5,1.64928443,30.65454545,7.026304
Fevi16,20/05/2008,31/05/2008,11,2008,5,0.771792571,36.41666667,10.06778182
Fevi16,31/05/2008,15/06/2008,15,2008,6,0,36.0375,8.903260843
