ID	StationName	Type	Fraction	SRF	EPI	MESO	BATHY	Unknown
1	X11	EG1	EPI	PA	0.37±0.01	0±0	0±0	0±0	0.63±0.01
2	X13	EG1	MESO	PA	0.04±0	0±0	0±0	0±0	0.96±0
3	X16	EG4	MESO	PA	0.27±0	0±0	0.01±0	0±0	0.72±0.01
4	X18	EG4	SRF	PA	0.97±0	0.01±0	0±0	0±0	0.02±0
5	X20	EG4	EPI	PA	0.63±0.01	0.01±0	0.01±0	0±0	0.36±0.01
6	X23	HG1	SRF	PA	0.77±0	0±0	0±0	0±0	0.23±0
7	X25	HG1	EPI	PA	0.09±0.01	0.18±0.01	0±0	0±0	0.72±0
8	X28	HG1	BATHY	PA	0.08±0.01	0±0	0.01±0	0.32±0	0.6±0.01
9	X30	HG4	BATHY	PA	0.09±0.01	0±0	0±0	0.02±0	0.89±0.01
10	X32	HG4	EPI	PA	0.73±0	0.01±0	0±0	0±0	0.26±0
11	X34	HG4	SRF	PA	0.99±0	0±0	0±0	0±0	0±0
12	X37	HG9	SRF	PA	0.99±0	0±0	0±0	0±0	0.01±0
13	X39	HG9	MESO	PA	0.09±0	0±0	0±0	0±0	0.9±0
14	X41	HG9	BATHY	PA	0.09±0	0±0	0±0	0±0	0.91±0
15	X42	HG9	EPI	PA	0.94±0	0.03±0	0±0	0±0	0.03±0
16	X44	N4	SRF	PA	0.99±0	0±0	0±0	0±0	0.01±0
17	X46	N4	EPI	PA	0.87±0	0±0	0±0	0±0	0.12±0
18	X54	N5	SRF	PA	0.99±0	0±0	0±0	0±0	0.01±0
19	X56	N5	MESO	PA	0.31±0.01	0±0	0.01±0	0±0	0.68±0.01
20	X58	N5	BATHY	PA	0.19±0.01	0±0	0±0	0.02±0	0.78±0.01
21	X61	S3	MESO	PA	0.02±0	0±0	0±0	0±0	0.98±0
22	X64	S3	SRF	PA	0.67±0.01	0±0	0±0	0±0	0.32±0.01
23	X9	EG1	SRF	PA	0.48±0	0±0	0±0	0±0	0.52±0
24	X14	EG4	BATHY	PA	0.02±0	0±0	0±0	0.02±0.01	0.96±0.01
25	X48	N4	MESO	PA	0.31±0	0±0	0.02±0	0.01±0	0.66±0
26	X51	N4	BATHY	PA	0.32±0.01	0±0	0±0	0.03±0	0.65±0.01
27	X52	N5	EPI	PA	0.85±0	0.01±0	0±0	0±0	0.14±0
28	X60	S3	BATHY	PA	0±0	0±0	0±0	0.02±0	0.97±0
29	X2	HG2	BATHY	PA	0.16±0.01	0±0	0±0	0.24±0.01	0.58±0.01
30	X4	HG2	SRF	PA	0.99±0	0±0	0±0	0±0	0±0
31	X6	HG2	EPI	PA	0.89±0	0.01±0	0±0	0±0	0.1±0
32	X22	HG1	MESO	PA	0.11±0	0.01±0	0±0	0±0	0.88±0
