Event ID	StationName	Region	Type	Latitude [degN]	Longitude [degE]	Sampling depth [m]	Fraction	Raw seq.	merged	Final seq.	Seq. proportions	Observed ASVs	Chao1 richness est.	Shannon Index	InvSimpson
1	PS99/056-1	HG2	WSC	EPI	79.13	4.91	100	FL	126332	118231	116371	0.92	559	559.83	4.55	35.23
2	PS99/051-1	EG1	EGC	SRF	78.99	-5.42	13	FL	119795	100936	100072	0.84	395	396	3.95	16.56
3	PS99/051-1	EG1	EGC	EPI	78.99	-5.42	100	PA	84393	48717	48461	0.57	251	251.43	4.04	22.19
4	PS99/051-1	EG1	EGC	EPI	78.99	-5.42	100	FL	93556	76159	75445	0.81	562	562.12	4.91	42.38
5	PS99/051-1	EG1	EGC	MESO	78.99	-5.42	971	PA	81961	46453	45912	0.56	242	242	4.08	13.79
6	PS99/048-1	EG4	EGC	BATHY	78.82	-2.73	2527	PA	40442	24347	23950	0.59	582	582.21	5.3	67.94
7	PS99/048-1	EG4	EGC	BATHY	78.82	-2.73	2527	FL	83489	63256	62259	0.75	677	677	5.24	77.17
8	PS99/048-1	EG4	EGC	MESO	78.82	-2.73	1000	PA	94068	22595	22240	0.24	219	219	4.38	34.26
9	PS99/048-1	EG4	EGC	MESO	78.82	-2.73	1000	FL	116333	89767	87599	0.75	873	876.5	5.4	67.09
10	PS99/048-11	EG4	EGC	SRF	78.82	-2.73	24	PA	129159	92871	92652	0.72	257	257	2.69	4.6
11	PS99/048-11	EG4	EGC	SRF	78.82	-2.73	24	FL	50962	42597	42408	0.83	250	250.12	3.96	16.36
12	PS99/056-1	HG2	WSC	BATHY	79.13	4.91	1500	PA	127327	88250	87070	0.68	1405	1407.23	5.81	96.31
13	PS99/048-11	EG4	EGC	EPI	78.82	-2.73	100	PA	82423	48716	48650	0.59	209	209	3.52	12.09
14	PS99/048-11	EG4	EGC	EPI	78.82	-2.73	100	FL	107341	84982	84058	0.78	660	660.3	5.01	49.74
15	PS99/066-05	HG1	WSC	MESO	79.14	6.09	500	PA	73515	44991	44706	0.61	356	359	4.74	47.21
16	PS99/066-05	HG1	WSC	SRF	79.14	6.09	17	PA	96298	79428	79111	0.82	238	238.33	3.95	24.39
17	PS99/066-05	HG1	WSC	SRF	79.14	6.09	17	FL	108056	90499	89522	0.83	246	249	3.98	19.37
18	PS99/066-05	HG1	WSC	EPI	79.14	6.09	100	PA	75826	54831	54571	0.72	405	405.33	4.65	35.61
19	PS99/066-05	HG1	WSC	EPI	79.14	6.09	100	FL	114036	92152	90603	0.79	496	496.3	4.59	32.89
20	PS99/066-05	HG1	WSC	MESO	79.14	6.09	500	FL	96141	70710	69054	0.72	805	807.33	5.52	78
21	PS99/066-05	HG1	WSC	BATHY	79.14	6.09	1253	PA	93880	54703	54021	0.58	760	760.16	5.72	134
22	PS99/066-05	HG1	WSC	BATHY	79.14	6.09	1253	FL	110906	77727	76181	0.69	728	728.91	5.21	59.43
23	PS99/056-1	HG2	WSC	BATHY	79.13	4.91	1500	FL	89485	70410	68834	0.77	697	697.09	5.08	61.21
24	PS99/042-01	HG4	WSC	BATHY	79.06	4.18	2462	PA	53600	29353	28981	0.54	550	550.75	5.43	96.73
25	PS99/042-01	HG4	WSC	BATHY	79.06	4.18	2462	FL	91804	69016	67887	0.74	835	836.91	5.5	93.54
26	PS99/042-11	HG4	WSC	EPI	79.06	4.18	100	PA	98983	58829	58695	0.59	200	200	3.49	12.37
27	PS99/042-11	HG4	WSC	EPI	79.06	4.18	100	FL	68023	54655	54083	0.8	357	357	4.5	34.39
28	PS99/042-11	HG4	WSC	SRF	79.06	4.18	28	PA	79513	55865	55574	0.7	128	128	2.43	5.29
29	PS99/042-11	HG4	WSC	SRF	79.06	4.18	28	FL	93344	73736	73032	0.78	193	193	3.62	16.85
30	PS99/059-2	HG9	WSC	BATHY	79.13	2.84	2499	FL	65021	52262	51577	0.79	564	567.33	5.23	85.24
31	PS99/059-2	HG9	WSC	SRF	79.13	2.84	24	PA	97805	73475	73332	0.75	162	162	2.21	3.61
32	PS99/059-2	HG9	WSC	SRF	79.13	2.84	24	FL	100027	85802	84265	0.84	198	198	3.08	7.03
33	PS99/059-2	HG9	WSC	MESO	79.13	2.84	1000	PA	40000	17610	16983	0.42	293	293	4.48	21.19
34	PS99/056-1	HG2	WSC	SRF	79.13	4.91	22	PA	96657	77543	77470	0.8	209	209	2.64	6.33
35	PS99/059-2	HG9	WSC	MESO	79.13	2.84	1000	FL	75512	54374	52959	0.7	731	731.09	5.54	89.24
36	PS99/059-2	HG9	WSC	BATHY	79.13	2.84	2499	PA	67194	46040	44906	0.67	299	299.17	3.08	4.9
37	PS99/059-2	HG9	WSC	EPI	79.13	2.84	100	PA	109243	76878	76560	0.7	211	212.5	2.65	5.73
38	PS99/059-2	HG9	WSC	EPI	79.13	2.84	100	FL	107685	88876	87844	0.82	406	406.43	4.44	32.58
39	PS99/055-1	N4	EGC	SRF	79.74	4.51	22	PA	93856	69143	69065	0.74	168	168	2.81	7.01
40	PS99/055-1	N4	EGC	SRF	79.74	4.51	22	FL	107125	89390	88632	0.83	210	210	3.68	17.96
41	PS99/055-1	N4	EGC	EPI	79.74	4.51	100	PA	98725	67686	67340	0.68	190	190	2.83	7.44
42	PS99/055-1	N4	EGC	EPI	79.74	4.51	100	FL	125947	104773	103789	0.82	455	455.6	4.4	30.63
43	PS99/055-7	N4	EGC	MESO	79.74	4.51	1000	PA	80466	16900	16773	0.21	290	290.11	4.74	48.1
44	PS99/055-7	N4	EGC	MESO	79.74	4.51	1000	FL	108741	75309	73605	0.68	825	825.86	5.47	73.33
45	PS99/056-1	HG2	WSC	SRF	79.13	4.91	22	FL	135811	128397	127252	0.94	331	331.11	3.8	19.34
46	PS99/055-7	N4	EGC	BATHY	79.74	4.51	2500	FL	117602	95661	93569	0.8	1098	1098.4	5.66	117.51
47	PS99/055-7	N4	EGC	BATHY	79.74	4.51	2500	PA	61064	37130	36841	0.6	595	595.05	4.83	38.08
48	PS99/053-2	N5	EGC	EPI	79.92	3.06	100	PA	104820	69663	69530	0.66	180	180	2.81	7.06
49	PS99/053-2	N5	EGC	EPI	79.92	3.06	100	FL	128517	107556	105894	0.82	457	457	4.44	30.89
50	PS99/053-2	N5	EGC	SRF	79.92	3.06	19	PA	106637	72499	72459	0.68	125	125	2.09	3.3
51	PS99/053-2	N5	EGC	SRF	79.92	3.06	19	FL	102883	83588	82376	0.8	129	129	2.89	7.14
52	PS99/053-2	N5	EGC	MESO	79.92	3.06	1000	PA	91767	43213	42994	0.47	253	253	3.89	17.71
53	PS99/053-2	N5	EGC	MESO	79.92	3.06	1000	FL	78375	57997	56871	0.73	702	702.33	5.35	72.93
54	PS99/053-2	N5	EGC	BATHY	79.92	3.06	2427	PA	74975	48153	47617	0.64	567	567.43	5.02	52.07
55	PS99/053-2	N5	EGC	BATHY	79.92	3.06	2427	FL	110508	83204	81053	0.73	907	907.4	5.52	108.05
56	PS99/056-1	HG2	WSC	EPI	79.13	4.91	100	PA	238546	203120	200555	0.84	427	427	2.83	7.03
57	PS99/041-1	S3	WSC	BATHY	78.61	5.05	2338	PA	55460	36044	34827	0.63	696	696.08	5.42	58.95
58	PS99/041-1	S3	WSC	MESO	78.61	5.05	1000	PA	71327	19223	18517	0.26	279	279.11	4.71	35.49
59	PS99/041-1	S3	WSC	MESO	78.61	5.05	1000	FL	121838	94026	91629	0.75	868	868.6	5.43	69.71
60	PS99/041-1	S3	WSC	BATHY	78.61	5.05	2338	FL	104830	81632	80160	0.76	825	825.06	5.39	84.49
61	PS99/041-5	S3	WSC	SRF	78.61	5.05	28	PA	92068	70184	69873	0.76	175	175	3.41	14.19
62	PS99/041-5	S3	WSC	SRF	78.61	5.05	28	FL	78457	67676	67254	0.86	197	197	3.77	20.31
63	PS99/41-9	S3	WSC	Sediment	78.61	5.05	2344	PA	114563	83904	78327	0.68	2295	2296.15	7.04	545.83
64	PS99/42-12	HG4	WSC	Sediment	79.06	4.18	2460	PA	365571	301456	289702	0.79	4931	4933.85	7.33	507.23
65	PS99/48-12	EG4	EGC	Sediment	78.82	-2.73	2604	PA	151719	119975	116030	0.76	2705	2705.69	7.02	469.45
66	PS99/51-9	EG1	EGC	Sediment	78.99	-5.42	1002	PA	137113	105643	102302	0.75	2296	2296.47	6.81	333.29
67	PS99/056-1	HG2	WSC	MESO	79.13	4.91	1000	FL	138385	122708	119432	0.86	1170	1172.44	5.3	58.57
68	PS99/52-3	N4	EGC	Sediment	NA	NA	2625	PA	277631	223731	215774	0.78	4077	4077.63	7.21	446.95
69	PS99/53-7	N5	EGC	Sediment	79.92	3.06	2604	PA	334946	277309	266731	0.8	4343	4346.42	7.13	418.86
70	PS99/57-2	HG2	WSC	Sediment	NA	NA	1540	PA	195846	153437	144608	0.74	3346	3346.4	7.15	434.99
