"","baseMean","log2FoldChange","lfcSE","padj","Phylum","Class","Order","Family","Genus","ASV","merging","region"
"6",296.537802501606,2.76146743510649,0.854785162928685,0.02860528129375,"Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Marimicrobium","ASV66","PS99_DCM_EPI","EGC"
"7",373.439950268786,6.39857430825593,1.66862910775237,0.00425766210955596,"Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Crocinitomicaceae_uncl","ASV70","PS99_DCM_EPI","EGC"
"9",4.8174177505389,5.75362763709357,2.46561050615471,0.0968700452948466,"Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicellaceae_uncl","ASV103","PS99_DCM_EPI","EGC"
"10",19.2009784395364,7.74860854492273,2.55316628312397,0.033544442185961,"Verrucomicrobiota","Lentisphaeria","Lentisphaerales","Lentisphaeraceae","Lentisphaera","ASV110","PS99_DCM_EPI","EGC"
"12",85.007478059262,3.66803401948268,1.20766980030537,0.033544442185961,"Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae","Gimesiaceae_uncl","ASV154","PS99_DCM_EPI","EGC"
"14",126.448086694193,5.63162216624113,2.36583536797466,0.0931523065227114,"Verrucomicrobiota","Lentisphaeria","P.palmC41","P.palmC41_uncl","P.palmC41_uncl","ASV181","PS99_DCM_EPI","EGC"
"15",101.2744736381,3.54647897794195,1.20397200946778,0.0355211879061448,"Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","Rubinisphaeraceae_uncl","ASV182","PS99_DCM_EPI","EGC"
"17",91.3328358962507,3.19774502607993,1.0900640091471,0.0355211879061448,"Planctomycetota","OM190","OM190_uncl","OM190_uncl","OM190_uncl","ASV219","PS99_DCM_EPI","EGC"
"22",19.9960475033917,7.80756830795178,3.38535795365507,0.0999914371597292,"Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","Rubinisphaeraceae_uncl","ASV313","PS99_DCM_EPI","EGC"
"27",7.72164922245788,6.4337841649245,2.64329105596103,0.0867366711498891,"Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Rubritalea","ASV415","PS99_DCM_EPI","EGC"
"29",10.9859107932273,6.94289633945133,2.52020930391316,0.0468366871795963,"Planctomycetota","OM190","OM190_uncl","OM190_uncl","OM190_uncl","ASV497","PS99_DCM_EPI","EGC"
"30",25.1407980205594,8.13754761108729,1.85333238682913,0.00044616192501206,"Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Urania-1B-19_marine_sediment_group","ASV520","PS99_DCM_EPI","EGC"
"33",28.0206851176217,5.64969460674978,2.28738165076377,0.0821210180538227,"Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellulaceae_uncl","ASV684","PS99_DCM_EPI","EGC"
"34",26.0723502082023,8.19002407766264,2.59787832709037,0.02860528129375,"Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellulaceae_uncl","ASV767","PS99_DCM_EPI","EGC"
"35",25.0600932604019,8.13306527530016,1.84455688940977,0.00044616192501206,"Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage","ASV835","PS99_DCM_EPI","EGC"
"36",11.1850781116412,6.96871022378268,2.46073231936799,0.0432727626003578,"Planctomycetota","OM190","OM190_uncl","OM190_uncl","OM190_uncl","ASV849","PS99_DCM_EPI","EGC"
"37",16.3117559832862,7.51375452953918,1.99922488294332,0.00468465537801567,"Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","CL500-3","ASV910","PS99_DCM_EPI","EGC"
"38",9.49343766041534,6.73301373979793,2.20098057456551,0.033544442185961,"NB1-j","NB1-j_uncl","NB1-j_uncl","NB1-j_uncl","NB1-j_uncl","ASV941","PS99_DCM_EPI","EGC"
"39",15.0593736615842,7.39792841720781,2.35606524978875,0.02860528129375,"Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula","ASV993","PS99_DCM_EPI","EGC"
"41",25.0705217355787,8.13384228855064,1.84281402943801,0.00044616192501206,"Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula","ASV1085","PS99_DCM_EPI","EGC"
"42",6.8581337662905,6.26385603058787,2.32424189689518,0.0521299563607903,"NB1-j","NB1-j_uncl","NB1-j_uncl","NB1-j_uncl","NB1-j_uncl","ASV1110","PS99_DCM_EPI","EGC"
"43",11.9337630254801,7.06231009214254,2.50108032040198,0.0432727626003578,"Planctomycetota","OM190","OM190_uncl","OM190_uncl","OM190_uncl","ASV1121","PS99_DCM_EPI","EGC"
"44",5.87377849649309,6.04021453010397,2.39770469302074,0.0753489669893982,"Planctomycetota","OM190","OM190_uncl","OM190_uncl","OM190_uncl","ASV1140","PS99_DCM_EPI","EGC"
