input	filtered	denoised	merged	nochim	tabled
10	119795	104733	103869	100936	100077	100072
11	84393	71642	70584	48717	48558	48461
12	93556	81214	80156	76159	75475	75445
13	81961	66092	64620	46453	46268	45912
15	83489	69063	67458	63256	62260	62259
16	94068	66062	65039	22595	22553	22240
17	116333	98506	96930	89767	87605	87599
18	129159	110388	109677	92871	92700	92652
19	50962	44730	44227	42597	42408	42408
20	82423	69694	68952	48716	48654	48650
21	107341	91326	89907	84982	84061	84058
23	96298	83269	82729	79428	79158	79111
24	108056	93561	93105	90499	89522	89522
25	75826	64903	63948	54831	54608	54571
26	114036	97772	96681	92152	90604	90603
27	96141	81931	80208	70710	69062	69054
28	93880	78568	75302	54703	54059	54021
29	110906	90878	88752	77727	76187	76181
30	53600	44295	42963	29353	29197	28981
31	91804	76520	74598	69016	67896	67887
32	98983	84022	83260	58829	58738	58695
33	68023	58114	57326	54655	54084	54083
34	79513	67906	67463	55865	55574	55574
35	93344	77520	76873	73736	73035	73032
37	97805	83194	82684	73475	73352	73332
38	100027	88326	87836	85802	84265	84265
39	40000	30950	29973	17610	17559	16983
40	75512	61184	59668	54374	52970	52959
41	67194	53902	52754	46040	45972	44906
42	109243	93114	92434	76878	76575	76560
43	107685	93694	92760	88876	87845	87844
44	93856	80470	79935	69143	69073	69065
45	107125	93318	92625	89390	88638	88632
46	98725	84214	83605	67686	67346	67340
47	125947	109047	108160	104773	103789	103789
49	108741	91579	89656	75309	73610	73605
53	128517	112465	111450	107556	105894	105894
54	106637	89797	89432	72499	72471	72459
55	102883	86789	86327	83588	82376	82376
56	91767	73047	71865	43213	43154	42994
57	78375	66858	65347	57997	56876	56871
58	74975	61333	59231	48153	47805	47617
59	110508	92727	90611	83204	81055	81053
61	71327	53949	52844	19223	19188	18517
62	121838	102852	101141	94026	91637	91629
63	104830	88636	86585	81632	80187	80160
64	92068	76598	76076	70184	70062	69873
65	78457	69774	69381	67676	67261	67254
9	72673	62547	62027	47772	47459	47419
14	40442	36341	34919	24347	24040	23950
48	80466	65839	64615	16900	16825	16773
50	117602	106810	104834	95661	93589	93569
51	61064	54473	52400	37130	36882	36841
52	104820	93998	93391	69663	69551	69530
60	55460	50082	49151	36044	35774	34827
1	126332	122623	121826	118231	116378	116371
2	127327	124082	120537	88250	87140	87070
3	89485	83034	81288	70410	68835	68834
4	96657	94219	93872	77543	77497	77470
5	135811	133355	132709	128397	127260	127252
6	238546	233649	232760	203120	200602	200555
7	138385	135265	133788	122708	119443	119432
22	73515	63166	61541	44991	44885	44706
36	65021	58317	56866	52262	51594	51577
8	52814	47645	46211	41340	40811	40802
66	114563	105098	98008	83904	78387	78327
67	365571	334537	325357	301456	289864	289702
68	151719	139744	133278	119975	116074	116030
69	137113	124356	118181	105643	102343	102302
70	277631	254912	246569	223731	215914	215774
71	334946	306145	297863	277309	266876	266731
72	195846	179303	171441	153437	144699	144608
