Region	Area(µm^2)	ESD(mm)	Vol(mm^3)
HG	46275.118	0.242733002	0.007488332
HG	5444.131	0.083256729	0.000302174
HG	8166.197	0.101968255	0.000555129
HG	5444.131	0.083256729	0.000302174
HG	10888.263	0.1177428	0.000854676
HG	2722.066	0.058871403	0.000106835
HG	2722.066	0.058871403	0.000106835
HG	5444.131	0.083256729	0.000302174
HG	2722.066	0.058871403	0.000106835
HG	2722.066	0.058871403	0.000106835
HG	10888.263	0.1177428	0.000854676
HG	8166.197	0.101968255	0.000555129
HG	5444.131	0.083256729	0.000302174
HG	8166.197	0.101968255	0.000555129
HG	8166.197	0.101968255	0.000555129
HG	2722.066	0.058871403	0.000106835
HG	13610.329	0.131640454	0.001194447
HG	16332.394	0.144204889	0.001570141
HG	2722.066	0.058871403	0.000106835
HG	8166.197	0.101968255	0.000555129
HG	13610.329	0.131640454	0.001194447
HG	8166.197	0.101968255	0.000555129
HG	16332.394	0.144204889	0.001570141
HG	43553.052	0.235485601	0.006837411
HG	2722.066	0.058871403	0.000106835
HG	122492.959	0.394921358	0.032250057
HG	10888.263	0.1177428	0.000854676
HG	5444.131	0.083256729	0.000302174
HG	19054.460	0.155759083	0.001978603
HG	54441.315	0.263280905	0.009555572
HG	2722.066	0.058871403	0.000106835
HG	138825.353	0.42042589	0.038910515
HG	5444.131	0.083256729	0.000302174
HG	136103.287	0.416283662	0.037771716
HG	8166.197	0.101968255	0.000555129
HG	62607.512	0.282337316	0.011784291
HG	2722.066	0.058871403	0.000106835
HG	10888.263	0.1177428	0.000854676
HG	32664.789	0.203936512	0.004441029
HG	5444.131	0.083256729	0.000302174
HG	5444.131	0.083256729	0.000302174
HG	119770.893	0.39050869	0.03118105
HG	81661.972	0.322451938	0.017554707
HG	5444.131	0.083256729	0.000302174
HG	10888.263	0.1177428	0.000854676
HG	24498.592	0.176614201	0.002884533
HG	255874.180	0.570779401	0.097365141
HG	2722.066	0.058871403	0.000106835
HG	2722.066	0.058871403	0.000106835
HG	5444.131	0.083256729	0.000302174
HG	19054.460	0.155759083	0.001978603
HG	5444.131	0.083256729	0.000302174
HG	2722.066	0.058871403	0.000106835
HG	10888.263	0.1177428	0.000854676
HG	13610.329	0.131640454	0.001194447
HG	21776.526	0.166513465	0.00241739
HG	2722.066	0.058871403	0.000106835
HG	21776.526	0.166513465	0.00241739
HG	5444.131	0.083256729	0.000302174
HG	2722.066	0.058871403	0.000106835
HG	8166.197	0.101968255	0.000555129
HG	13610.329	0.131640454	0.001194447
HG	5444.131	0.083256729	0.000302174
HG	29942.723	0.195254344	0.003897631
HG	2722.066	0.058871403	0.000106835
HG	2722.066	0.058871403	0.000106835
HG	2722.066	0.058871403	0.000106835
HG	2722.066	0.058871403	0.000106835
HG	2722.066	0.058871403	0.000106835
HG	5444.131	0.083256729	0.000302174
HG	2722.066	0.058871403	0.000106835
HG	2722.066	0.058871403	0.000106835
HG	5444.131	0.083256729	0.000302174
HG	5444.131	0.083256729	0.000302174
HG	2722.066	0.058871403	0.000106835
HG	38108.920	0.220276608	0.005596336
HG	13610.329	0.131640454	0.001194447
HG	5444.131	0.083256729	0.000302174
HG	2722.066	0.058871403	0.000106835
HG	2722.066	0.058871403	0.000106835
HG	5444.131	0.083256729	0.000302174
HG	5444.131	0.083256729	0.000302174
HG	2722.066	0.058871403	0.000106835
HG	2722.066	0.058871403	0.000106835
HG	8166.197	0.101968255	0.000555129
