	StationID	StationName	Replicate	Replicate.subset	Type	Region	Fraction	Longitude [degrees_east]	Latitude [degrees_north]	"Bot, Depth [m]"	Depth	Source.Alt	SourceSink.depth	for_ordination
X8	PS99/051-1	EG1	A	1	MESO	EGC	FL	78.99	-5.418	1002.2	971	MESO	source	MESO
X9	PS99/051-1	EG1	A	1	SRF	EGC	PA	78.98983333	-5.417833333	1002.2	13	SRF	sink	EGC.SRF
X10	PS99/051-1	EG1	A	1	SRF	EGC	FL	78.98983333	-5.417833333	1002.2	13	SRF	source	EGC.SRF
X11	PS99/051-1	EG1	A	1	EPI	EGC	PA	78.98983333	-5.417833333	1002.2	100	EPI	sink	EGC.EPI
X12	PS99/051-1	EG1	A	1	EPI	EGC	FL	78.98983333	-5.417833333	1002.2	100	EPI	source	EGC.EPI
X13	PS99/051-1	EG1	A	1	MESO	EGC	PA	78.98983333	-5.417833333	1002.2	971	MESO	sink	MESO
X14	PS99/048-1	EG4	A	1	BATHY	EGC	PA	78.81633333	-2.729	2604.7	2527	BATHY	sink	BATHY
X15	PS99/048-1	EG4	A	1	BATHY	EGC	FL	78.81633333	-2.729	2604.7	2527	BATHY	source	BATHY
X16	PS99/048-1	EG4	B	1	MESO	EGC	PA	78.81633333	-2.729	2604.7	1000	MESO	sink	MESO
X17	PS99/048-1	EG4	B	1	MESO	EGC	FL	78.81633333	-2.729	2604.7	1000	MESO	source	MESO
X18	PS99/048-11	EG4	B	1	SRF	EGC	PA	78.81633333	-2.729	2604.7	24	SRF	sink	EGC.SRF
X19	PS99/048-11	EG4	B	1	SRF	EGC	FL	78.81633333	-2.729	2604.7	24	SRF	source	EGC.SRF
X20	PS99/048-11	EG4	B	1	EPI	EGC	PA	78.81633333	-2.729	2604.7	100	EPI	sink	EGC.EPI
X21	PS99/048-11	EG4	B	1	EPI	EGC	FL	78.81633333	-2.729	2604.7	100	EPI	source	EGC.EPI
X44	PS99/055-1	N4	A	1	SRF	EGC	PA	79.73916667	4.508	2708.2	22	SRF	sink	EGC.SRF
X45	PS99/055-1	N4	A	1	SRF	EGC	FL	79.73916667	4.508	2708.2	22	SRF	source	EGC.SRF
X46	PS99/055-1	N4	A	1	EPI	EGC	PA	79.73916667	4.508	2708.2	100	EPI	sink	EGC.EPI
X47	PS99/055-1	N4	A	1	EPI	EGC	FL	79.73916667	4.508	2708.2	100	EPI	source	EGC.EPI
X48	PS99/055-7	N4	A	1	MESO	EGC	PA	79.73916667	4.508	2708.2	1000	MESO	sink	MESO
X49	PS99/055-7	N4	A	1	MESO	EGC	FL	79.73916667	4.508	2708.2	1000	MESO	source	MESO
X50	PS99/055-7	N4	A	1	BATHY	EGC	FL	79.73916667	4.508	2708.2	2500	BATHY	source	BATHY
X51	PS99/055-7	N4	B	1	BATHY	EGC	PA	79.73916667	4.508	2708.2	2500	BATHY	sink	BATHY
X52	PS99/053-2	N5	A	1	EPI	EGC	PA	79.92117	3.062	2604.2	100	EPI	sink	EGC.EPI
X53	PS99/053-2	N5	A	1	EPI	EGC	FL	79.92117	3.062	2604.2	100	EPI	source	EGC.EPI
X54	PS99/053-2	N5	B	1	SRF	EGC	PA	79.92117	3.062	2604.2	19	SRF	sink	EGC.SRF
X55	PS99/053-2	N5	B	1	SRF	EGC	FL	79.92117	3.062	2604.2	19	SRF	source	EGC.SRF
X56	PS99/053-2	N5	B	1	MESO	EGC	PA	79.92117	3.062	2604.2	1000	MESO	sink	MESO
X57	PS99/053-2	N5	B	1	MESO	EGC	FL	79.92117	3.062	2604.2	1000	MESO	source	MESO
X58	PS99/053-2	N5	B	1	BATHY	EGC	PA	79.92117	3.062	2604.2	2427	BATHY	sink	BATHY
X59	PS99/053-2	N5	B	1	BATHY	EGC	FL	79.92117	3.062	2604.2	2427	BATHY	source	BATHY
X1	PS99/056-1	HG2	B	1	EPI	WSC	FL	79.134	4.907	1544	100	EPI	source	WSC.EPI
X2	PS99/056-1	HG2	A	1	BATHY	WSC	PA	79.134	4.907	1544	1500	BATHY	sink	BATHY
X3	PS99/056-1	HG2	A	1	BATHY	WSC	FL	79.134	4.907	1544	1500	BATHY	source	BATHY
X4	PS99/056-1	HG2	A	1	SRF	WSC	PA	79.134	4.907	1544	22	SRF	sink	WSC.SRF
X5	PS99/056-1	HG2	A	1	SRF	WSC	FL	79.134	4.907	1544	22	SRF	source	WSC.SRF
